 Diffraction intensities for potential:x6x6_03D10004.in                        
#    -54    14      -1.0000000000E+000
#    -54    15      -1.0000000000E+000
#    -54    16      -1.0000000000E+000
#    -54    17      -1.0000000000E+000
#    -54    18      -1.0000000000E+000
#    -54    19      -1.0000000000E+000
#    -54    20      -1.0000000000E+000
#    -53     9      -1.0000000000E+000
#    -53    10      -1.0000000000E+000
#    -53    11      -1.0000000000E+000
#    -53    12      -1.0000000000E+000
#    -53    13      -1.0000000000E+000
#    -53    14      -1.0000000000E+000
#    -53    15      -1.0000000000E+000
#    -53    16      -1.0000000000E+000
#    -53    17      -1.0000000000E+000
#    -53    18      -1.0000000000E+000
#    -53    19      -1.0000000000E+000
#    -53    20      -1.0000000000E+000
#    -53    21      -1.0000000000E+000
#    -53    22      -1.0000000000E+000
#    -53    23      -1.0000000000E+000
#    -53    24      -1.0000000000E+000
#    -52     6      -1.0000000000E+000
#    -52     7      -1.0000000000E+000
#    -52     8      -1.0000000000E+000
#    -52     9      -1.0000000000E+000
#    -52    10      -1.0000000000E+000
#    -52    11      -1.0000000000E+000
#    -52    12      -1.0000000000E+000
#    -52    13      -1.0000000000E+000
#    -52    14      -1.0000000000E+000
#    -52    15      -1.0000000000E+000
#    -52    16      -1.0000000000E+000
#    -52    17      -1.0000000000E+000
#    -52    18      -1.0000000000E+000
#    -52    19      -1.0000000000E+000
#    -52    20      -1.0000000000E+000
#    -52    21      -1.0000000000E+000
#    -52    22      -1.0000000000E+000
#    -52    23      -1.0000000000E+000
#    -52    24      -1.0000000000E+000
#    -52    25      -1.0000000000E+000
#    -52    26      -1.0000000000E+000
#    -51     3      -1.0000000000E+000
#    -51     4      -1.0000000000E+000
#    -51     5      -1.0000000000E+000
#    -51     6      -1.0000000000E+000
#    -51     7      -1.0000000000E+000
#    -51     8      -1.0000000000E+000
#    -51     9      -1.0000000000E+000
#    -51    10      -1.0000000000E+000
#    -51    11      -1.0000000000E+000
#    -51    12      -1.0000000000E+000
#    -51    13      -1.0000000000E+000
#    -51    14      -1.0000000000E+000
#    -51    15      -1.0000000000E+000
#    -51    16      -1.0000000000E+000
#    -51    17      -1.0000000000E+000
#    -51    18      -1.0000000000E+000
#    -51    19      -1.0000000000E+000
#    -51    20      -1.0000000000E+000
#    -51    21      -1.0000000000E+000
#    -51    22      -1.0000000000E+000
#    -51    23      -1.0000000000E+000
#    -51    24      -1.0000000000E+000
#    -51    25      -1.0000000000E+000
#    -51    26      -1.0000000000E+000
#    -51    27      -1.0000000000E+000
#    -50     1      -1.0000000000E+000
#    -50     2      -1.0000000000E+000
#    -50     3      -1.0000000000E+000
#    -50     4      -1.0000000000E+000
#    -50     5      -1.0000000000E+000
#    -50     6      -1.0000000000E+000
#    -50     7      -1.0000000000E+000
#    -50     8      -1.0000000000E+000
#    -50     9      -1.0000000000E+000
#    -50    10      -1.0000000000E+000
#    -50    11      -1.0000000000E+000
#    -50    12      -1.0000000000E+000
#    -50    13      -1.0000000000E+000
#    -50    14      -1.0000000000E+000
#    -50    15      -1.0000000000E+000
#    -50    16      -1.0000000000E+000
#    -50    17      -1.0000000000E+000
#    -50    18      -1.0000000000E+000
#    -50    19      -1.0000000000E+000
#    -50    20      -1.0000000000E+000
#    -50    21      -1.0000000000E+000
#    -50    22      -1.0000000000E+000
#    -50    23      -1.0000000000E+000
#    -50    24      -1.0000000000E+000
#    -50    25      -1.0000000000E+000
#    -50    26      -1.0000000000E+000
#    -50    27      -1.0000000000E+000
#    -50    28      -1.0000000000E+000
#    -49    -1      -1.0000000000E+000
#    -49     0      -1.0000000000E+000
#    -49     1      -1.0000000000E+000
